id	jobPlace	name	company	salary	education	jobRequirement	jobExperience
478	成都-天府新区	初级数据服务工程师	文思海辉技术有限公司 Pactera Technology International Limited	面议	大专	数据分析 	不限
479	成都	游戏数据分析（双休）	成都摩奇创造信息技术有限公司	8千-1.3万	本科	行业分析 商业分析 SQL Python 手机游戏 	1-3年
480	成都	稽核大数据分析岗(正式内勤)	中国平安人寿保险股份有限公司四川分公司	6千-8千	本科	数据分析 	3-5年
481	成都-高新区	电力交易分析师	成都硕电科技有限公司	6千-9千	本科	行业分析 商业分析 逻辑思维 写作能力 	1-3年
482	成都-武侯区	数据主管	四川玖优创信息科技有限公司	5千-7千	本科	数据分析 数据挖掘 数据采集 	3-5年
483	成都	数据分析专员（包两餐+五险一金）	湖南潭州教育网络科技有限公司成都分公司	3.5千-5千	大专	数据分析 SPSS excel 表格函数 需求分析 	1-3年
484	成都	数据标记工程师	弘和通讯	3千-4千	本科	数据分析 数据标记 	1-3年
485	成都-高新区	IT数据分析经理/9k-14k	东方天呈信息产业集团有限公司	9千-1.4万	本科	数据分析 BI SQL 数据治理 	3-5年
486	成都	大数据分析工程师（中级）	成都主导科技有限责任公司	1.5万-2万	硕士	数据分析 Python 数据挖掘 大数据分析 	3-5年
487	成都-武侯区	遥感数据处理系统设计师	北京四象爱数科技有限公司	2万-3万	硕士	遥感 MATLAB 模型设计 数据建模 数据采集 Python 	1-3年
488	成都	地产需求分析师（招商蛇口）	深圳市睿服科技有限公司	1万-1.5万	大专	商业分析 需求分析 数据挖掘 	1-3年
489	成都	高级量化分析师	成都有据量化科技有限公司	7千-1.4万	本科	量化分析 	1-3年
490	成都	大数据分析工程师（初级）	成都主导科技有限责任公司	1万-1.4万	硕士	数据分析 数据挖掘 Python 大数据分析 	1-3年
491	广州	数据分析师	广州瑟蒂渃服饰有限公司	4千-5千	本科	数据仓库 数据分析 数据集市 需求分析 	1-3年
492	广州	数据分析师	广州巴伽娱乐传媒有限公司	5千-8千	大专	数据分析 	1-3年
493	广州-天河区	业务数据分析师(J10404)	中康资讯	1万-1.5万	本科	销售业务数据 	3-5年
494	广州-越秀区	商业数据分析师	广州博晓智盈管理咨询有限公司	1.1万-1.6万	本科	商业分析 数据挖掘 数据采集 数据建模 	3-5年
495	广州-越秀区	数据分析师	广州巴博瑞汽车零部件有限公司	5千-9千	大专	数据分析 数据挖掘 SPSS 行业分析 	1-3年
496	广州	数据分析师	广州集优电子商务有限公司	7千-1万	大专	数据分析 数据采集 VBA 数据挖掘 数据监控 数据架构 	1-3年
497	广州	数据分析师	广州市大鸽饭餐饮服务有限公司	1万-1.8万	大专	数据分析 	1-3年
498	广州	数据分析师	广东尚源信息技术有限公司	7千-1万	本科	数据分析 数据建模 SQL 	1-3年
499	广州	数据分析师	广州智数信息技术有限公司	7千-1.2万	本科	数据建模 Python 数据清洗 SQL Oracle SQLServer 数据仓库 	1-3年
500	广州	数据分析师	康立明生物	1万-1.8万	本科	数据分析 	3-5年
501	广州-白云区	双休大数据分析师/本科学历	西安橄榄枝人力资源有限公司	7千-1万	本科	Oracle 数据分析 	1年以下
502	广州-黄埔区	数据分析师	佰聆数据股份有限公司北京分公司	8千-1.5万	本科	数据分析 Greenplum 	3-5年
503	广州	数据分析师	深圳科迪新汇信息科技有限公司广州分公司	8千-1.5万	本科	数据分析 数据挖掘 数据清洗 数据建模 	1-3年
504	广州	数据分析师助理	广州星晨互联网信息有限公司	6千-9千	学历不限	数据分析 SQL Python 	不限
505	广州-天河区	初级数据分析师	广州智嘉科技有限公司	4千-8千	大专	SQL 商业分析 数据采集 需求分析 数据挖掘 Python 	不限
506	广州	数据分析师	中国联通广东分公司	1.3万-2.3万	本科	SQL Python 数据挖掘 数据建模 需求分析 Oracle 	1-3年
507	广州-黄埔区	数据分析师 （数据运营方向）	广州宏途教育网络科技有限公司	8千-1万	本科	数据分析 数据挖掘 大数据分析 大数据平台 	1-3年
508	广州-天河区	数据分析师	广州天维信息技术股份有限公司	8千-1.6万	本科	SPSS Python 	3-5年
509	广州-天河区	数据分析师	深圳市浪花网络科技有限公司	1万-1.5万	大专	数据分析 数据挖掘 Tableau 需求分析 	1-3年
510	广州-天河区	数据分析师	启迪万众网络科技(北京)有限公司	7千-9千	本科	数据分析 Python SQL 爬虫 	1-3年
511	广州-天河区	数据分析师	神州泰岳	9千-1万	大专	excel 数据分析 Python SQL 	3-5年
512	广州-白云区	数据分析师	广州欧博化妆品有限公司	6千-1万	大专	数据分析 大数据分析 数据治理 大数据平台 爬虫 商业分析 	不限
513	广州	数据分析师	百度在线网络技术(北京)有限公司上海软件技术分公司	1万-1.5万	本科	数据分析 Python SQL 商业分析 商业数据分析 行业分析 	1-3年
514	广州-荔湾区	数据分析师	名创优品	8千-1.2万	本科	Python MySQL Tableau 	1-3年
515	广州-番禺区	商品数据分析师 (MJ000511)	广州细刻网络科技有限公司	8千-1.3万	本科	数据分析 	不限
516	广州-越秀区	数据分析师	台州市大数据发展有限公司	1.3万-1.8万	硕士	Hadoop Spark BI 数据分析 数据挖掘 数据清洗 大数据分析 需求分析 	1-3年
517	广州-白云区	数据分析师	广州市爱莲化妆品有限公司	4千-6千	本科	数据分析 数据挖掘 SPSS 数据仓库 大数据分析 	不限
518	广州-海珠区	数据分析师	保利地产投资顾问有限公司	2万-3万	本科	数据分析 	5-10年
519	广州	数据分析师	名创优品	1.5万-2.5万	本科	Python BI SQL Tableau 商业数据分析 需求分析 	3-5年
520	广州-荔湾区	高级数据分析师	唯品会	1.2万-2.4万	本科	数据分析 Python Hive SQL BI 商业数据分析 	3-5年
521	广州	金融数据分析师（双休+非销售）	广州瀚信信息咨询服务有限公司	4千-6千	大专	风险控制 数据分析 金融 数据研究员 	不限
522	广州	人力资源数据分析师	纳思达	2万-2.5万	本科	数据分析 数据挖掘 数据建模 	3-5年
523	广州-越秀区	助理数据分析师	佰聆数据股份有限公司北京分公司	6千-8千	本科	数据分析 SQL Python 数据建模 	不限
524	广州-荔湾区	数据分析师	名创优品	1.5万-2.5万	本科	Python BI SQL Tableau 商业数据分析 需求分析 	3-5年
525	广州-番禺区	数据分析师	雅生活集团	1万-1.5万	本科	数据分析 	1-3年
526	广州-荔湾区	数据分析师	大参林	8千-1.5万	本科	统计学 数据分析 	3-5年
527	广州	高级数据分析师	棒谷科技	1万-1.8万	本科	数据建模 数据挖掘 SQL Python 用户画像 	3-5年
528	广州-黄埔区	数据分析师（数据挖掘）	南方电网深圳数字电网研究院有限公司	1.5万-2万	本科	数据分析 数据挖掘 Python Hive 机器学习 	3-5年
529	广州-荔湾区	商品数据分析师(加拿大)	名创优品	6千-1万	本科	数据分析 excel SQL 	1-3年
530	广州-番禺区	数据分析师	范可辛服饰(广州)有限公司	1万-2万	大专	数据分析 销售业务数据 	3-5年
531	广州	数据运营分析师（CDA）	一品红	1万-1.5万	大专	数据采集 数据建模 	3-5年
532	广州-天河区	数据分析师	深圳市鼎驰科技发展有限公司	1.2万-1.5万	本科	数据分析 	1-3年
533	广州	数据分析师	广州市易工品科技有限公司	8千-1.2万	本科	SQL SPSS 数据分析 数据挖掘 商业数据分析 	1-3年
534	广州-南沙区	数据分析师	成都音泰思科技有限公司	1万-2万	本科	数据分析 	1-3年
535	广州	大数据分析师	中国联通广东分公司	1.5万-2.5万	本科	数据分析 商业数据分析 数据建模 	1-3年
536	广州-黄埔区	数据分析师	广电运通	1万-1.5万	本科	数据分析 BI SPSS SQL 	1-3年
537	广州-黄埔区	电力数据分析师	润建智慧能源有限责任公司	5千-8千	大专	数据分析 Oracle SQL 数据建模 	不限
538	广州	数据分析师（BI)）	青木数字技术股份有限公司	6千-8千	本科	商业分析 行业分析 数据建模 数据分析 电商数据 	1-3年
539	广州-天河区	初级数据分析师/6K双休	广州帝诺科技有限公司	5千-8千	本科	数据分析 商业数据分析 大数据分析 BI 	不限
540	广州-增城区	大数据分析师	纽恩泰	9千-1.7万	本科	数据分析 数据挖掘 决策树 大数据分析 爬虫 	3-5年
541	广州-白云区	数据分析师	广东甜秘密寝具有限公司	6千-8千	大专	数据分析 MySQL 数据监控 大数据分析 SQL 	不限
542	广州	大数据分析师（保底10K＋双休）	广州帝诺科技有限公司	1万-2万	本科	数据分析 数据仓库 商业分析 MySQL Power BI Python 大数据分析 	3-5年
543	广州-番禺区	数据分析师	蘑菇物联	2.2万-3万	本科	数据分析 数据挖掘 	3-5年
544	广州	数据分析师	四川中天浩会计师事务所有限公司	5千-7千	本科	SQL 	不限
545	广州-天河区	业务数据分析师（周末双休10k以上）	广州帝诺科技有限公司	1万-1.5万	大专	数据分析 数据挖掘 BI 大数据分析 大数据平台 数据采集 Oracle SQL 	不限
546	广州-越秀区	数据分析师	中科金审	9千-1.4万	本科	数据挖掘 需求分析 数据建模 	1-3年
547	广州	亚马逊选品专员（亚马逊数据分析师）	广州芒果尚品网络科技有限公司	1万-2万	大专	跨境电商运营 选品 亚马逊选品 	1-3年
548	广州-天河区	数据分析运营师	广州帝诺科技有限公司	8千-1.5万	大专	数据分析 BI 数据仓库 大数据分析 大数据平台 ETL Oracle 数据采集 	不限
549	广州-天河区	数据分析师	软通动力信息技术(集团)股份有限公司	8千-1万	本科	数据分析 SQL 大数据平台 数据仓库 	3-5年
550	广州	数据分析师	广州粒粒金团企业管理顾问有限公司	1万-1.5万	本科	需求分析 SQL Python 	3-5年
551	广州	数据分析师	广东铭太信息科技有限公司	4千-8千	本科	数据统计分析 	不限
552	广州-天河区	数据分析师	信必优(深圳)信息技术有限公司	面议	本科	数据分析 SQL 数据建模 ETL 大数据分析 	3-5年
553	广州	数据分析师	北京字节跳动科技有限公司	2.5万-5万	本科		5-10年
554	广州-越秀区	数据分析师	广州市星月动漫文化发展有限公司	5千-8千	本科	品牌商沟通 货品运营 	1-3年
555	广州-越秀区	数据分析师	广东二十一世纪传媒股份有限公司	1.3万-2.5万	本科	数据分析 	1-3年
556	广州-海珠区	业务数据分析师	药师帮	1万-1.5万	本科	数据分析 	1-3年
557	广州	数据分析师	义乌市宁姿服饰有限公司	1万-1.5万	大专	行业数据分析 电商数据运营 推广数据运营 Python 建模 CDA 	3-5年
558	广州-天河区	数据运营专员/数据分析师	广东携众建筑咨询服务有限公司	7千-1万	本科	行业数据分析 业务数据分析 销售业务分析 	1-3年
559	广州	商业数据分析师	广州乐佩贸易有限公司	6千-8千	大专	商业分析 数据挖掘 Python 	不限
560	广州	阿里灵犀互娱-游戏数据分析师-广州	阿里巴巴集团	面议	本科		无经验
561	广州	数据分析师	文思海辉技术有限公司 Pactera Technology International Limited	面议	本科		1-3年
562	广州-番禺区	数据分析师（销售策略）	百度在线网络技术(北京)有限公司上海软件技术分公司	1万-1.5万	本科	数据运营 数据分析师 销售数据分析 策略运营 	3-5年
563	广州-番禺区	统计数据分析师	广州市番禺区陈文卫会计培训中心	4千-6千	大专	office 统计软件 	1-3年
564	广州	游戏数据分析师	广州四三九九信息科技有限公司	8千-1.5万	本科	游戏数据运营 行业数据分析 推广数据运营 	不限
565	广州-花都区	直播数据分析师	广州妆后贸易有限公司	6千-8千	学历不限	主播 直播 数据分析 直播分析 直播运营 	1-3年
566	广州-白云区	XA2170-数据分析师（物流）	顺丰速运	2.5万-3.5万	本科	数据分析师（物流） 	5-10年
567	广州-花都区	数据分析师（偏数据挖掘）	法本信息	1万-1.5万	大专	Python 数据清洗 SQL R语言 Tableau 	3-5年
568	广州	金融数据分析师（双休）	广东兆丰恒业控股集团有限公司	4千-6千	大专	风险分析 	1年以下
569	广州	电商数据分析师/高级数据分析专员/天猫数据分析师	名创优品	1.2万-1.8万	本科	电商数据运营 	3-5年
570	广州-海珠区	数据运营分析师	广州凡科互联网科技股份有限公司	1万-2万	本科	SPSS SQL 行业数据分析 	1-3年
571	广州-天河区	数据分析员	广东科慧信息服务股份有限公司	9千-1.1万	本科	数据分析 SQL SQL Server 	1-3年
572	广州-黄埔区	数据支持岗	京东物流华南区域分公司	8千-1.5万	大专	数据分析 数据挖掘 Python BI SQL 商业数据分析 	1-3年
573	广州-黄埔区	数据分析师	佰聆数据股份有限公司北京分公司	1万-1.5万	本科	数据分析 数据挖掘 SQL Python R语言 	1-3年
574	广州-海珠区	数据运营	广州欧莱雅百库网络科技有限公司	7千-1.1万	本科	数据分析 数据监控 Python SPSS BI SQL 	1-3年
575	广州	数据分析师	广东铭太信息科技有限公司	3千-5千	大专	数据分析 MySQL Python 	不限
576	广州-黄埔区	人力资源数据分析主管/经理	京东物流华南区域分公司	1万-2万	本科	数据分析 BI MySQL 	3-5年
577	广州	（金融）数据分析师助理（周末双休+朝九晚五）	广东兆丰恒业控股集团有限公司	8千-1万	大专	金融 数据 实习生 应届生 双休 朝九晚五 管培生 分析 	不限
578	广州-天河区	数据挖掘分析师（2021届）	深圳索信达数据技术有限公司	8千-1.5万	硕士	数据清洗 数据建模 Python SQL SPSS 	无经验
579	广州-黄埔区	助理数据分析师	佰聆数据股份有限公司北京分公司	2千-3千	本科	数据分析 需求分析 数据清洗 大数据平台 SQL Python R语言 	1年以下
580	广州-天河区	贝壳找房-广州站-数据分析岗【2021届ADC】校园招聘	贝壳找房	9千-1.3万	本科	数据分析 SQL SPSS 	不限
581	广州-海珠区	数据专员/数据分析师	健丽科技投资	4千-6千	大专		1-3年
582	广州	国际化广告数据分析师	北京字节跳动科技有限公司	1万-2万	本科		1-3年
583	广州	大数据分析师(J11336)	汉得信息	8千-1万	大专	Tableau 数据分析 数据挖掘 数据清洗 	3-5年
584	广州-天河区	数据采集分析	广州仅悦数据科技有限公司	6千-1.2万	本科	数据采集 数据治理 数据仓库 数据分析 	1-3年
585	广州	数据分析工程师	丰石科技	6千-8千	大专	SQL 	1-3年
586	广州-天河区	数据分析专员	广州达信数据科技有限公司	6千-1.1万	大专	Tableau 数据分析 SQL 	1-3年
587	广州-海珠区	广东铁塔站址运营管理员（QD31）	广东邮电人才服务有限公司广州分公司	8千-9千	大专	数据分析 运营 数据 通信 管理 分析 	1-3年
588	广州-天河区	YP数据专员（周末双休、五险一金）	北京易速聘人力资源有限公司	5.5千-7.5千	本科	数据分析 	1-3年
589	广州-天河区	数据分析员	广州仅悦数据科技有限公司	6千-1.2万	大专	SQL BI R语言 	1-3年
590	广州-越秀区	数据分析助理	广州生煎先生餐饮有限公司	4千-6千	大专	数据分析 数据挖掘 需求分析 商业数据分析 	不限
591	广州-天河区	双休数据分析专员/助理	广州达信数据科技有限公司	6千-8千	大专	数据运维 数据分析 	不限
592	广州	数据挖掘分析师	北京字节跳动科技有限公司	1万-2万	本科		3-5年
593	广州	数据分析专员/助理	广东康爱多数字健康科技有限公司	5千-8千	本科	Python 数据分析 商业数据分析 R语言 SQL 数据建模 模型设计 大数据分析 	1年以下
594	广州	数据分析专员 4k-6k+五险一金	魔方网聘(北京)科技有限公司广州分公司	6千-8千	大专	数据分析 	不限
595	广州	经济数据分析员（8k+双休）	广州瀚信信息咨询服务有限公司	8千-1万	大专	数据分析 行业分析 需求分析 	不限
596	广州-海珠区	数据分析助理	中国秦发集团有限公司	6千-8千	本科	数据分析 数据挖掘 大数据分析 数据建模 数据监控 行业分析 需求分析 数据采集 	1-3年
597	广州-天河区	数据分析专员 4k-6k+五险一金	秋小香(成都)科技有限公司	6千-8千	大专	数据分析 	不限
598	广州-天河区	数据分析	广东铭太信息科技有限公司	4千-8千	本科	数据分析 BI 大数据分析 SQL 	1-3年
599	广州	数据专员（可应届生）	广州市欧亮照明有限公司	4千-8千	大专	数据分析 商业数据分析 数据采集 需求分析 商业分析 电商数据分析 	不限
600	广州	数据分析助理（双休+弹性工作）	广州瀚信信息咨询服务有限公司	8千-1万	大专	数据分析 行业分析 需求分析 	不限
601	广州-番禺区	数据分析员（应届毕业生也可）	广东腾达庆红汽车有限公司	5千-7千	大专	数据分析 数据挖掘 数据清洗 数据监控 深度学习 需求分析 行业分析 数据建模 	1-3年
602	广州-白云区	数据分析专员	上海本来生活信息科技有限公司	8千-1万	本科	数据分析 数据挖掘 Python BI SPSS SQL 	3-5年
603	广州-白云区	大数据分析助理/双休带薪年假	广州天河区泉乐共享科技有限公司	6千-9千	大专	数据仓库 数据处理 	1年以下
604	广州-天河区	公众号数据分析	深圳市睿服科技有限公司	4千-6千	大专	SQL 	1-3年
605	广州	金融数据分析（8K+完善晋升+双休）	广州瀚信信息咨询服务有限公司	8千-1万	大专	风险控制 数据分析 金融 	不限
606	广州	数据分析助理	广东兆丰恒业控股集团有限公司	6千-8千	大专	朝九晚五 管培生 实习生 投资助理 证券研究 金融 数据分析 分析师助理 	不限
607	广州	校招-数据分析挖掘工程师(J12575)	东方国信	3千-5千	本科	数据分析 数据挖掘 	不限
608	广州	零售银行商业分析助理副总裁（恒生）	汇丰环球	2.5万-5万	本科	PEGA GCP AEM 	5-10年
609	广州-海珠区	数据智能高级主管/助理经理	广州欧莱雅百库网络科技有限公司	1万-2万	本科	Python SQL 数据建模 	3-5年
610	广州-天河区	初级开发工程师/薪资6-10K＋/福利待遇好/有晋升渠道	广州达信数据科技有限公司	6千-1万	大专	数据分析 	1-3年
611	广州	数据分析专员	广州彼特技术有限公司	4千-7千	大专	数据分析 	不限
612	广州	数据分析主管 #4185192	Michael Page	面议	本科		无经验
613	广州-海珠区	数据处理实习生	广州市赛皓达智能科技有限公司	2千-3千	大专	数据处理实习生 	不限
614	广州	数据分析专员	置家集团	6千-1万	本科	Python SQL Tableau Oracle 数据分析 数据清洗 	1-3年
615	广州-天河区	Excel数据分析（6K+双休）	广州达信数据科技有限公司	5千-8千	本科	数据分析 BI 	不限
616	广州-天河区	数据分析岗	广州贝壳	8千-1.2万	本科	数据分析 数据挖掘 数据清洗 SQL SPSS 数据监控 	不限
617	广州	高级数据分析-美资消费品巨头 #4187086	Michael Page	面议	本科	SQL excel Python 	3-5年
618	广州	数据分析工程师	深圳市南电云商有限公司	1万-2万	本科	大数据分析 	不限
619	广州	商品主管/商品计划分析师	名创优品	1万-1.5万	本科	统计学 商品计划 	3-5年
620	广州	初级数据分析助理 6-8K	广州达信数据科技有限公司	6千-8千	大专	数据分析 Tableau BI SQL 	1-3年
621	广州-天河区	数据分析专员	广州市优贝教育科技有限公司	8千-1.5万	本科	数据分析 	1-3年
622	广州	数据分析员/数据专员	广州巴伽娱乐传媒有限公司	5千-1万	本科	数据分析 	1-3年
623	广州-天河区	数据分析助理（周末双休）	广州帝诺科技有限公司	8千-1.5万	大专	数据分析 数据挖掘 BI ETL 数据采集 大数据平台 大数据分析 数据仓库 	不限
624	广州	零售银行商业分析经理（恒生）	汇丰环球	1万-2万	本科	数据分析 金融 	3-5年
625	广州	计划数据分析/计划统筹(J10270)	林氏木业	7千-9千	本科	数据挖掘 商业分析 数据采集 	3-5年
626	广州	数据处理员（可实习）	广州仓实信息科技有限公司	4千-6千	学历不限	不动产 数据分析 数据处理 excel 档案整理核对 数据内业 	不限
627	广州	数据分析工程师（双休+14薪）	广州中港科技有限公司	6千-8千	大专	数据分析 大数据分析 数据清洗 数据监控 数据采集 	1年以下
628	广州-南沙区	数据分析与挖掘实习生（中科智城）	广州中国科学院软件应用技术研究所	1.5千-2.5千	本科	数据分析 数据仓库 大数据分析 大数据平台 数据监控 数据采集 回归分析 数据架构 	不限
629	广州	数据分析员+五险一金	广州帝诺科技有限公司	6千-1.2万	大专	excel SQL 	1-3年
630	广州	数据工程师	广州市华广计算机软件有限公司	5千-9千	大专	数据分析 	1-3年
631	广州-黄埔区	数据实习生	广州宏途教育网络科技有限公司	2千-3千	大专	数据分析 	1-3年
632	广州-南沙区	售后坏件分析员	广东芬尼克兹节能设备有限公司	5千-7千	大专	数据分析 数据建模 数据采集 	1-3年
633	广州-天河区	业务数据员 均6k+ 双休 朝九晚六 五险一金	辽宁人瑞普惠人力资源服务有限公司	6千-8千	大专	数据分析 Python 需求分析 数据挖掘 行业分析 	不限
634	广州-天河区	双休数据分析专员/助理（包吃住）	广州帝诺科技有限公司	5千-8千	本科	技术 助理 数据分析 大数据分析 	不限
635	广州-白云区	数据分析(东呈会)	东呈国际集团	1万-1.3万	本科	数据分析 收益管理 	1-3年
636	广州-荔湾区	数据分析实习生（企业运营方向）	广州医药股份有限公司	2千-3千	学历不限	数据分析 运营 项目管理 	不限
637	广州-天河区	数据分析专员	广州鹰金钱食品集团有限公司	3千-5千	大专	数据分析 数据仓库 	1-3年
638	广州-黄埔区	数据处理员-餐补-五险一金-绩效奖金	辽宁人瑞普惠人力资源服务有限公司	7千-9千	大专	数据分析 需求分析 数据监控 数据挖掘 	不限
639	广州-天河区	数据员	广东省家庭医生协会	7千-1.4万	大专	数据分析 	1-3年
640	广州	数据分析助理	广州帝诺科技有限公司	6千-1万	大专	SQL 	1-3年
641	广州	数据分析员（应届毕业生也可）	广东腾达庆红汽车有限公司	5千-7千	大专	数据分析 数据挖掘 数据清洗 数据监控 深度学习 需求分析 行业分析 数据建模 	1-3年
642	广州-天河区	SAP数据专员	亿达信息技术有限公司深圳分公司	6千-9千	本科	SAP 数据处理 excel 英语能力 Power BI 数据透视 主数据系统 	1-3年
643	广州-天河区	数据分析专员/双休	广州达信数据科技有限公司	7千-1万	本科	SQL 商业数据分析 需求分析 数据清洗 数据分析 	1-3年
644	广州	营销数据分析经理(J10274)	深圳前海新心数字科技有限公司	2万-3万	本科	数据分析 	5-10年
645	广州-天河区	数据分析员/8K以上	广州帝诺科技有限公司	8千-1.5万	大专	数据分析 数据挖掘 BI 大数据分析 大数据平台 ETL SQL 	不限
646	广州-天河区	AI智能训练师（偏客服和数据）	深圳前海云彩投资有限公司	8千-1.2万	大专	客服管理 在线客服 售后客服 投诉客服 客服质检 售前客服 	1-3年
647	广州	数据运营	深圳科迪新汇信息科技有限公司广州分公司	8千-1.5万	大专	数据分析 数据挖掘 	1-3年
648	广州-天河区	数据治理工程师	广州宝巨信息技术有限公司	1.5万-3万	本科	数据建模 数据治理 数据分析 数据中台 大数据平台 	3-5年
649	广州-天河区	数据分析	彩讯科技	7千-1.2万	本科	数据分析 Python SQL SPSS 	3-5年
650	广州-天河区	数据统计分析专员/8k~15k	广州帝诺科技有限公司	8千-1.5万	大专	数据分析 数据挖掘 BI Oracle SQL 大数据分析 大数据平台 数据采集 	不限
651	广州	量化分析师	合生创展集团有限公司	1.2万-2万	硕士	量化分析 数据分析 	不限
652	广州-天河区	数据分析专员	广东盛誉投资集团有限公司	6千-8千	本科	数据分析 	1-3年
653	广州-越秀区	数据挖掘	豌豆思维VIPThink	1.5万-2万	本科	数据分析 BI 数据建模 大数据分析 Pandas NumPy 商业分析 	1-3年
654	广州	数据分析与管控岗	广东省农村信用社联合社	1.5万-2.5万	本科	需求分析 数据分析 SQL 	3-5年
655	广州-天河区	数据分析（周末双休8k以上）	广州帝诺科技有限公司	8千-1.5万	大专	数据分析 数据挖掘 BI 大数据分析 大数据平台 数据采集 Oracle SQL 	不限
656	广州	数据标准化工程师	广东金质信息技术有限公司	6千-1万	硕士	数据管理 	1-3年
657	广州	数据分析助理	广东兆丰恒业控股集团有限公司	6千-8千	大专	投资分析 	不限
658	广州-天河区	初级数据处理工程师（实习生）	宜通世纪	2千-2.7千	大专	SQL 	不限
659	广州-海珠区	数据分析工程师	广东中联兴环保科技有限公司	5千-8千	大专	数据分析 Python SQL Tableau MySQL 	1年以下
660	广州-天河区	13薪数据专员（周末双休）	广州帝诺科技有限公司	1万-1.5万	大专	数据分析 数据挖掘 BI ETL 大数据平台 大数据分析 Oracle 数据仓库 	不限
661	广州	数据工程师	精明购	6千-9千	大专	数据分析 	不限
662	广州-黄埔区	高级数据分析	广州方舟医药有限公司	6千-1万	本科	Tableau 数据分析 Python SQL ETL Hive 	1-3年
663	广州-海珠区	应用架构及数据规范师	广东邮电人才服务有限公司广州分公司	1万-2万	学历不限	物联网 架构设计 Java ActiveMQ 	5-10年
664	广州-天河区	数据分析	博彦科技	6千-1万	大专	数据分析 	3-5年
665	广州-天河区	BI数据工程师	广州帝诺科技有限公司	1万-1.6万	大专	数据分析 数据挖掘 BI 大数据平台 数据采集 ETL Oracle SQL 	不限
666	广州-越秀区	策略分析师	广州银行信用卡中心	9千-1.1万	本科	MySQL Python 	1年以下
667	广州	金融分析员（专业技术培训+双休）	广州瀚信信息咨询服务有限公司	1万-1.5万	大专	数据分析 行业分析 	不限
668	广州	Digital Analyst - 0000F8HR	汇丰软件开发(广东)有限公司	面议	本科	数据分析 	不限
669	广州-黄埔区	数据分析专家	广东卓志供应链科技有限公司	1.5万-2.5万	本科	数据分析 数据挖掘 数据清洗 SPSS Python BI 	5-10年
670	广州	高精地图制作主管	广州极飞科技股份有限公司	1万-1.8万	本科	高精地图 农田 导航地图 地图数据 	3-5年
671	广州	物流数据分析	棒谷科技	7千-9千	本科	Python SQL 数据运营 	1-3年
672	广州-天河区	数据专员	广东康侨药业有限公司	5千-7千	大专	产品销售数据整理分析 	1-3年
673	广州	Digital Analyst - 0000F8I0	汇丰软件开发(广东)有限公司	面议	本科	数据分析 	不限
674	广州-番禺区	中级生信分析师	石家庄博瑞迪生物技术有限公司	9千-1.5万	本科	数据分析 	不限
675	广州	数据分析实习生	广东天域行城市更新技术咨询有限公司	3千-4千	本科	数据分析 实习 城市更新 	不限
676	广州-增城区	售后数据分析工程师	纽恩泰	4千-6千	大专	数据分析 售后分析 质量分析 产品检测 	1-3年
677	广州-白云区	亚马逊产品研发专员（3C电子、家居类目）	广州蓝牧贸易有限公司	8千-1.5万	本科	数据分析 数据挖掘 数据采集 商业数据分析 需求分析 行业分析 亚马逊 跨境电商 	不限
678	广州	数据管理主任(J10278)	深圳前海新心数字科技有限公司	8千-1万	本科	数据分析 	1-3年
679	广州	Digital Analyst - 0000F7BB	汇丰软件开发(广东)有限公司	面议	硕士	数据分析 	不限
680	广州-荔湾区	智能数据挖掘分析师	唯品会	面议	本科	智能客服 客服机器人 智能外呼 数据挖掘 	3-5年
681	广州-天河区	广州银行--业务需求分析师【周末双休 待遇福利好】	深圳市拓保软件有限公司	1万-1.6万	本科	数据挖掘 数据分析 数据仓库 大数据分析 	3-5年
682	广州	金融数据分析（5K+周末双休）	广东兆丰恒业控股集团有限公司	8千-1万	大专	金融 	无经验
683	广州-天河区	数据模型师	上海复深蓝软件股份有限公司	1万-1.5万	本科	数据分析 数据建模 大数据分析 Python SQL 	3-5年
684	广州-天河区	数据专员（棠东BRT）sy	湖南潭州教育网络科技有限公司广州第三分公司	6千-8千	本科	MySQL Python BI SPSS 数据分析 excel 	不限
685	广州-海珠区	大数据分析工程师	广东珠江智联信息科技股份有限公司	9千-1.5万	大专	ETL Kafka SQL BI 数据清洗 数据分析 数据仓库 需求分析 	3-5年
686	广州	零售银行商业分析助理副总裁	汇丰环球	2.5万-5万	本科	商业分析 SQL Python 数据挖掘 	5-10年
687	广州	数据分析助理	广东兆丰恒业控股集团有限公司	8千-1万	大专	金融 数据分析 	不限
688	广州-越秀区	威胁情报分析师	数字观星	1万-1.5万	本科	数据分析 数据挖掘 SQL 数据监控 爬虫 Pandas Python 数据清洗 	3-5年
689	广州-天河区	数据策略岗	贝壳找房	1万-1.5万	本科	Tableau 数据分析 Python 数据挖掘 SQL 需求分析 数据监控 	3-5年
690	广州-天河区	助理AI算法工程师	软通动力信息技术(集团)股份有限公司	8千-1万	本科	数据采集 数据分析 	不限
691	广州	零售银行数据科学家	汇丰环球	1万-2万	本科	自然语言 AI 机器学习算法 	3-5年
692	广州	高薪海归双休）不加班	中国平安人寿保险股份有限公司广州市天河支公司新运部	8千-1万	中专/中技	数据采集 商业分析 银行 金融 销售 	不限
693	广州	计算机图形图像分析与处理工程师	广州市荣耀电子科技有限公司	6千-9千	本科	数据分析 	不限
